cond,leg,P_imp_over_median,spikes
H5+G3,rh,1.9082738583530603,5110
controle H5,lf,0.8836928371448344,1609
controle H5,lm,1.491256304719702,1480
controle H5,lh,1.1334482511916923,1589
controle H5,rf,1.1657297994239095,1789
controle H5,rm,1.3581032814167764,1581
controle H5,rh,1.2082580374078788,1578
controle H5,lf,1.9651008826405587,1665
controle H5,lm,1.3568286927766486,1465
controle H5,lh,1.0205310193757404,1672
controle H5,rf,1.3446709273688342,1757
controle H5,rm,2.4314492610561382,1510
controle H5,rh,1.397970650746476,1581
controle H5,lf,1.675491540222866,1777
controle H5,lm,1.178299618017199,1414
controle H5,lh,2.332758159260967,1589
controle H5,rf,2.056517133410067,1809
controle H5,rm,1.0836815588127469,1487
controle H5,rh,1.122026109499403,1575
controle H5,lf,1.7517949886905138,1601
controle H5,lm,1.3742337044067747,1410
controle H5,lh,0.9724487343514681,1547
controle H5,rf,1.7648853580074664,1811
controle H5,rm,1.5214108631168297,1553
controle H5,rh,1.7559172003776475,1583
controle H5,lf,1.6042819205430028,1636
controle H5,lm,1.2781142206231144,1431
controle H5,lh,1.502594983754842,1501
controle H5,rf,1.1091136265988013,1795
controle H5,rm,2.033698302022861,1507
controle H5,rh,1.0991123057714391,1611
controle H5+G3,lf,2.282510991748116,4620
controle H5+G3,lm,1.128437227224037,4244
controle H5+G3,lh,1.366684934961216,5961
controle H5+G3,rf,0.7103468770703972,5033
controle H5+G3,rm,2.245019144868795,4079
controle H5+G3,rh,0.8742364939200881,5148
controle H5+G3,lf,1.5802072990297273,4383
controle H5+G3,lm,1.7736077758119504,4015
controle H5+G3,lh,1.119305327430017,5730
controle H5+G3,rf,1.3230263466718604,4951
controle H5+G3,rm,1.3924438381386504,4316
controle H5+G3,rh,0.8413526446493049,5218
controle H5+G3,lf,1.241876677103551,4539
controle H5+G3,lm,1.5807626642747046,4075
controle H5+G3,lh,0.97848164193517,5626
controle H5+G3,rf,2.1801014957283606,4813
controle H5+G3,rm,1.6472432190361683,4213
controle H5+G3,rh,1.0380688206526,5235
controle H5+G3,lf,1.0611144533347774,4517
controle H5+G3,lm,1.604112812799198,4138
controle H5+G3,lh,0.7586889343494231,5771
controle H5+G3,rf,1.4464018591314762,5213
controle H5+G3,rm,1.6484106817934774,4294
controle H5+G3,rh,1.335831690288359,5389
controle H5+G3,lf,1.5150959731354356,4726
controle H5+G3,lm,0.8183677018241824,4187
controle H5+G3,lh,1.2041715094733443,5965
controle H5+G3,rf,1.7459603572871618,4854
controle H5+G3,rm,1.378257860819736,4143
controle H5+G3,rh,1.7250398484987153,5387
gluexc,lf,2.5833660585140223,1879
gluexc,lm,1.8593478330164244,438
gluexc,lh,4.265505244382305,571
gluexc,rf,2.159781669364426,1649
gluexc,rm,1.2550556651152298,150
gluexc,rh,1.7739955881243124,550
gluexc,lf,4.416749998154536,1243
gluexc,lm,0.9756173364019097,1540
gluexc,lh,3.4399854277845123,510
gluexc,rf,17.23986345087576,1619
gluexc,rm,0.9698656986383246,2168
gluexc,rh,2.374855104383964,654
gluexc,lf,2.4059276542678156,2430
gluexc,lm,1.690750053384071,821
gluexc,lh,1.6705166015749524,926
gluexc,rf,1.1158888786874988,2448
gluexc,rm,0.9951820365894986,1729
gluexc,rh,0.49940440857829205,800
gluexc,lf,1.4961502328964527,1192
gluexc,lm,2.5705305683890196,727
gluexc,lh,4.691146074179318,434
gluexc,rf,0.9890125367537927,1752
gluexc,rm,1.8086814280983732,291
gluexc,rh,0.9341568445707951,654
gluexc,lf,2.6794803149190263,1438
gluexc,lm,1.763077306980466,705
gluexc,lh,1.5085605250279734,376
gluexc,rf,1.8133607323149747,1708
gluexc,rm,2.5485732780181327,671
gluexc,rh,0.9634899079753512,648
gluexc,lf,1.942424437533487,1766
gluexc,lm,2.6926807262411763,477
gluexc,lh,2.577971214216811,589
gluexc,rf,1.9640645190221802,1612
gluexc,rm,2.006305167661546,131
gluexc,rh,2.02660324872922,554
gluexc,lf,3.4656724727719666,1202
gluexc,lm,0.8493829357261085,1563
gluexc,lh,2.9393892408009226,553
gluexc,rf,15.983574643325204,1626
gluexc,rm,1.083536827780448,2205
gluexc,rh,3.1736373380204954,621
gluexc,lf,4.048809757699538,2443
gluexc,lm,1.5703075279188519,867
gluexc,lh,1.1637800459635763,909
gluexc,rf,1.5349443756915662,2487
gluexc,rm,0.972545295639433,1703
gluexc,rh,0.4997907595110193,745
gluexc,lf,2.2096255890380814,1123
gluexc,lm,1.468325657871338,737
gluexc,lh,2.953479263423236,449
gluexc,rf,1.2025436818672577,1792
gluexc,rm,2.7906219845524194,314
gluexc,rh,0.792774037472393,629
gluexc,lf,3.0572860050508104,1333
gluexc,lm,3.6931742821671696,778
gluexc,lh,3.2932028523608454,390
gluexc,rf,1.8462811103775394,1792
gluexc,rm,2.2524879869681733,740
gluexc,rh,0.7600428109486628,633
gluexc,lf,2.0230238129540346,1998
gluexc,lm,1.2750012519520082,288
gluexc,lh,2.429138157108227,676
gluexc,rf,1.0043855422559502,1748
gluexc,rm,1.1265737299530405,186
gluexc,rh,4.361891818012513,662
gluexc,lf,7.664889754850695,1078
gluexc,lm,1.6830644753155022,1599
gluexc,lh,7.696144392339676,572
gluexc,rf,12.974396331990254,1627
gluexc,rm,0.8779072845076249,2249
gluexc,rh,6.966864241729872,721
gluexc,lf,2.012657433834635,2479
gluexc,lm,2.0407216572434113,824
gluexc,lh,2.341532840656499,1088
gluexc,rf,3.256889326926624,2534
gluexc,rm,1.027484023089177,1729
gluexc,rh,1.4445638461747392,843
gluexc,lf,3.5831497069637255,1178
gluexc,lm,3.283987586351729,630
gluexc,lh,3.9293167808134104,519
gluexc,rf,1.9669507657954641,1773
gluexc,rm,2.13904208342055,387
gluexc,rh,0.9850522454858359,709
gluexc,lf,4.405187615488799,1434
gluexc,lm,2.553461297509272,658
gluexc,lh,4.009538414942105,435
gluexc,rf,2.360495985503821,1690
gluexc,rm,2.295034103568016,751
gluexc,rh,1.0346409932434926,748
gluexc,lf,1.7126899339857746,1881
gluexc,lm,2.37533047411729,261
gluexc,lh,2.064895325615602,696
gluexc,rf,1.142728649531667,1679
gluexc,rm,2.2275598782647794,189
gluexc,rh,4.511666675179977,647
gluexc,lf,8.394089810644212,1053
gluexc,lm,1.843966792902896,1623
gluexc,lh,9.649223556033345,621
gluexc,rf,9.517358935654286,1647
gluexc,rm,0.811547615273714,2214
gluexc,rh,6.172882019483356,704
gluexc,lf,3.7294198656839517,2434
gluexc,lm,3.0568143333866806,859
gluexc,lh,2.1874260832960246,1068
gluexc,rf,2.7347844678920525,2487
gluexc,rm,0.9729009791020102,1733
gluexc,rh,1.7597875370043536,837
gluexc,lf,2.0360607507121062,1080
gluexc,lm,2.064045451369348,677
gluexc,lh,2.429143950598562,548
gluexc,rf,2.210662085264231,1846
gluexc,rm,2.0901725817745014,427
gluexc,rh,1.0026629356700063,682
gluexc,lf,3.8504569180346833,1429
gluexc,lm,2.2516079110895486,624
gluexc,lh,6.703290077093402,480
gluexc,rf,1.4986232727583715,1665
gluexc,rm,2.963498334718834,747
gluexc,rh,1.5920357777018048,753
gluexc+G3,lf,1.003194980212686,13898
gluexc+G3,lm,1.1860959154802195,8195
gluexc+G3,lh,1.2922923520239866,8656
gluexc+G3,rf,1.076134422150462,14047
gluexc+G3,rm,1.696722736044719,8614
gluexc+G3,rh,1.3942999250360943,6565
gluexc+G3,lf,0.6973770291393423,13709
gluexc+G3,lm,0.8339875333819241,8298
gluexc+G3,lh,0.9168681715794648,8352
gluexc+G3,rf,1.3675093626758306,14097
gluexc+G3,rm,1.139978154780009,8546
gluexc+G3,rh,1.3600352586423208,6714
gluexc+G3,lf,1.7604079664563799,13745
gluexc+G3,lm,1.3236991131284341,8323
gluexc+G3,lh,2.742249972833138,8786
gluexc+G3,rf,0.3887993582230087,14167
gluexc+G3,rm,1.4365643246873074,8357
gluexc+G3,rh,0.9584760264365754,6588
gluexc+G3,lf,1.7275067691354626,13752
gluexc+G3,lm,1.1520954940407733,8126
gluexc+G3,lh,1.6067074545671012,8452
gluexc+G3,rf,0.8176348485373951,14025
gluexc+G3,rm,1.839918329207991,8146
gluexc+G3,rh,1.5749723614616447,6547
gluexc+G3,lf,1.926332856172793,14119
gluexc+G3,lm,2.557831293482159,8175
gluexc+G3,lh,1.7097741904989856,8564
gluexc+G3,rf,2.04515214688173,14232
gluexc+G3,rm,1.7006542718675022,8360
gluexc+G3,rh,1.488135297132824,6882
gluexc+G3,lf,0.9991180820410502,13459
gluexc+G3,lm,1.7550591210537805,7937
gluexc+G3,lh,1.0556494359974742,8380
gluexc+G3,rf,1.1253319484715232,14167
gluexc+G3,rm,0.9351111296183767,8390
gluexc+G3,rh,1.3013473100418207,6621
gluexc+G3,lf,1.123991822325075,13500
gluexc+G3,lm,1.0435022842476893,8286
gluexc+G3,lh,1.186531792269244,8130
gluexc+G3,rf,0.6777053499137197,14110
gluexc+G3,rm,1.0421924948202934,8434
gluexc+G3,rh,1.029118028696899,6641
gluexc+G3,lf,1.7827429281880702,13495
gluexc+G3,lm,1.2447756526907052,8307
gluexc+G3,lh,2.956949554347048,8796
gluexc+G3,rf,1.0561545565334347,14033
gluexc+G3,rm,1.0564502763701533,8192
gluexc+G3,rh,1.6888705698336415,6463
gluexc+G3,lf,1.750940853091094,13252
gluexc+G3,lm,1.5140999163428093,8065
gluexc+G3,lh,2.224472691376973,8241
gluexc+G3,rf,1.1048450677672432,14060
