cond,leg,P_imp_over_median,spikes
H5,lf,2.5743002078316204,1846
H5,lm,2.4054196410876765,1601
H5,lh,1.1060638857083915,1731
H5,rf,2.0306414804556967,2367
H5,rm,1.5216683710690555,1677
H5,rh,1.5449839172393889,1856
H5,lf,1.2378890043737225,1905
H5,lm,1.0508226979278246,1563
H5,lh,1.2952650654550633,1684
H5,rf,1.7763438417775523,2413
H5,rm,1.9035582689083763,1697
H5,rh,1.2306290427230506,1907
H5,lf,1.0412081414138743,2011
H5,lm,1.472227650206748,1638
H5,lh,0.6645734058020815,1773
H5,rf,1.3350287619208492,2370
H5,rm,1.138442153520945,1657
H5,rh,1.4261768401165495,1853
H5,lf,2.007383142469895,1828
H5,lm,1.6701343984010018,1818
H5,lh,1.0196918682777616,1878
H5,rf,2.746460738834542,2396
H5,rm,1.6353479856753441,2020
H5,rh,2.0765080387772885,1851
H5,lf,1.8061768819429243,2421
H5,lm,1.475309155791043,1618
H5,lh,2.333982656186147,1862
H5,rf,2.6206952719563015,2714
H5,rm,0.9833579584458103,1806
H5,rh,0.9323571930519867,1915
H5,lf,2.1746719508837278,1813
H5,lm,1.7846537498797432,1568
H5,lh,1.3733261544285766,1694
H5,rf,2.1206345911742486,2395
H5,rm,1.2986729570384175,1683
H5,rh,1.7702748426348343,1833
H5,lf,1.2452107527070344,1904
H5,lm,1.256242239594148,1595
H5,lh,1.762765949882631,1687
H5,rf,1.5633657416361924,2400
H5,rm,2.2084579039613725,1696
H5,rh,1.0295235718019593,1909
H5+G3,lf,2.482572396895846,4690
H5+G3,lm,1.5864465666476382,3882
H5+G3,lh,1.464436693814391,5613
H5+G3,rf,1.3374304267443422,5086
H5+G3,rm,1.6146791378610008,3955
H5+G3,rh,0.9849242298500447,5009
H5+G3,lf,2.234958490540052,4471
H5+G3,lm,0.9761669240108375,3858
H5+G3,lh,1.043223877783077,5459
H5+G3,rf,1.1370093122928486,5363
H5+G3,rm,1.3355733961657859,4166
H5+G3,rh,1.0976054772810044,5090
H5+G3,lf,1.5848257191599378,4674
H5+G3,lm,1.5422001780986079,3883
H5+G3,lh,1.3806548842697182,5475
H5+G3,rf,1.4528033100608269,5291
H5+G3,rm,1.8483890973842885,4072
H5+G3,rh,1.0109444453508776,5041
H5+G3,lf,1.4605220563042884,4415
H5+G3,lm,1.7023241683921544,3783
H5+G3,lh,0.7350223692563941,5546
H5+G3,rf,1.52949913688745,5182
H5+G3,rm,1.082188409370852,4166
H5+G3,rh,1.0471130761993444,5304
H5+G3,lf,1.6477455199339568,4726
H5+G3,lm,1.0332238718933962,4005
H5+G3,lh,1.4924862154505916,5813
H5+G3,rf,1.7724131798428815,5315
H5+G3,rm,1.0080680578387826,3918
H5+G3,rh,2.2626985121808,5262
H5+G3,lf,2.657391581725679,4670
H5+G3,lm,2.1740894580798447,3913
H5+G3,lh,1.9376054824349238,5586
H5+G3,rf,1.9927719674690387,5109
H5+G3,rm,1.5071373589846517,3905
H5+G3,rh,0.9275590255942441,5047
H5+G3,lf,2.0794670226597596,4447
H5+G3,lm,1.7132756975865666,3761
H5+G3,lh,1.4219041016954879,5368
H5+G3,rf,1.165070989141691,5071
H5+G3,rm,0.9989669665786024,4078
H5+G3,rh,1.3235345199274735,5138
H5+G3,lf,1.132875094019453,4614
H5+G3,lm,1.4829107700543886,3897
H5+G3,lh,1.4668850834436484,5422
H5+G3,rf,1.5639427343453483,5130
H5+G3,rm,1.5097198995051127,4011
H5+G3,rh,1.295845402598334,5073
H5+G3,lf,1.2329458069351726,4429
H5+G3,lm,1.3678502547759954,3755
H5+G3,lh,1.121571416468774,5524
H5+G3,rf,1.5764325760196132,5253
H5+G3,rm,1.2224771031032904,4152
H5+G3,rh,1.0251173802796598,5237
