mode,leg,kind,target,n_sensors,n_mn,E1,I1,bal1,E2,I2,bal2
verified_gluexc,rf,hair,FTi_flexor,44,16,5.0,6.0,-0.09090909090909091,131904.0,34512.0,0.5852321892125757
verified_gluexc,rf,hair,FTi_extensor,44,2,3.0,0.0,1.0,42429.0,49370.0,-0.07561084543404613
verified_gluexc,rf,cs,all,25,70,466.0,15.0,0.9376299376299376,271611.0,231889.0,0.07889175769612711
verified_gluexc,rf,cs,FTi_flexor,25,16,78.0,1.0,0.9746835443037974,39284.0,45601.0,-0.07441833068268834
verified_gluexc,rf,cs,FTi_extensor,25,2,20.0,4.0,0.6666666666666666,25499.0,10764.0,0.4063370377519786
verified_gluexc,rm,claw,all,13,63,380.0,0.0,1.0,395675.0,464376.0,-0.07988014664246655
verified_gluexc,rm,claw,FTi_flexor,13,17,220.0,0.0,1.0,190630.0,178670.0,0.03238559436772272
verified_gluexc,rm,claw,FTi_extensor,13,2,55.0,0.0,1.0,36634.0,119005.0,-0.5292439555638369
verified_gluexc,rm,hook,all,23,63,558.0,0.0,1.0,200745.0,310151.0,-0.21414534464940027
verified_gluexc,rm,hook,FTi_flexor,23,17,320.0,0.0,1.0,76590.0,115655.0,-0.2032042445837343
verified_gluexc,rm,hook,FTi_extensor,23,2,67.0,0.0,1.0,26059.0,48932.0,-0.30500993452547637
verified_gluexc,rm,club,all,55,63,58.0,0.0,1.0,178592.0,330666.0,-0.2986187747664249
verified_gluexc,rm,club,FTi_flexor,55,17,38.0,0.0,1.0,34070.0,200146.0,-0.7090719677562591
verified_gluexc,rm,club,FTi_extensor,55,2,11.0,0.0,1.0,14906.0,3620.0,0.6091978840548419
verified_gluexc,rm,hair,all,46,63,1416.0,27.0,0.9625779625779626,1568209.0,1230122.0,0.12081737292693395
verified_gluexc,rm,hair,FTi_flexor,46,17,117.0,0.0,1.0,368487.0,205760.0,0.2833745757487632
verified_gluexc,rm,hair,FTi_extensor,46,2,11.0,0.0,1.0,86839.0,38340.0,0.38743718994400017
verified_gluexc,rm,cs,all,2,63,7.0,0.0,1.0,5939.0,3074.0,0.31787418173749027
verified_gluexc,rm,cs,FTi_flexor,2,17,7.0,0.0,1.0,2090.0,156.0,0.8610863757791629
verified_gluexc,rm,cs,FTi_extensor,2,2,0.0,0.0,,277.0,583.0,-0.3558139534883721
verified_gluexc,rh,claw,all,25,63,632.0,0.0,1.0,435552.0,987744.0,-0.38796708485093756
