kind,group,vnc_scale,combo,mn_active,ball_speed,lf_A,lf_A_hz,lf_B,lf_CTr_r,lf_FTi_r,lm_A,lm_A_hz,lm_B,lm_CTr_r,lm_FTi_r,lh_A,lh_A_hz,lh_B,lh_CTr_r,lh_FTi_r,rf_A,rf_A_hz,rf_B,rf_CTr_r,rf_FTi_r,rm_A,rm_A_hz,rm_B,rm_CTr_r,rm_FTi_r,rh_A,rh_A_hz,rh_B,rh_CTr_r,rh_FTi_r
closed,G3_top20_drive,1.0,10,135.2,0.4350048901226059,False,,False,-0.06971247066061369,0.09880282198937247,False,,False,0.2184304239319203,0.09034209666880981,False,,False,0.2390942187513418,0.1747415385934655,False,,False,0.17023425018308677,0.12306077740952873,False,,False,0.22355343256972765,0.1437691023544192,False,,False,0.29479345717918565,0.2017396686640386
closed,G3_top20_drive,1.0,11,136.8,0.39297730110627127,False,,False,-0.08319163504459681,0.13610145554404057,False,,False,0.25312652902751587,0.16993693247410924,False,,False,0.24963172383078946,0.21784843936617898,False,,False,0.15984068124901218,0.14381652136257894,False,,False,0.1437472477853908,0.17061692698950132,False,,False,0.20789049704694396,0.18117241368864417
closed,G3_top20_drive,2.0,00,116.8,0.6087900927479786,False,,False,-0.18553590408884046,0.1142697201777791,False,,False,0.15383511345259615,0.05008513855128954,False,,False,0.0931256551626541,0.09864681815564033,False,,False,0.08206884282628729,0.10151460727362312,False,,False,0.08854439932276933,0.11152771555085321,False,,False,0.05493762902204313,0.10253767110742376
closed,G3_top20_drive,2.0,01,116.6,0.6380636214392349,False,,False,-0.12537407834844555,0.10536107186893824,False,,False,0.18462298311263034,0.046473242058902665,False,10.0,False,0.12460038275716626,0.07513450966528819,False,,False,0.04765913429711612,0.09345091464184743,False,5.0,False,0.057837579554757476,0.08262238590632029,False,,False,0.11055693985370649,0.06883773084385417
closed,G3_top20_drive,2.0,10,137.8,0.580681166805461,False,,False,-0.19820054211294325,0.07572738383869256,False,,False,0.066229688956341,-0.11065301815955893,False,,False,0.12058615002612183,0.030929240334999643,False,,False,0.09949147057989113,0.08479872404498257,False,,False,0.0529012166925696,0.03419003105614073,False,,False,0.15175511424716942,0.09586896275767036
closed,G3_top20_drive,2.0,11,138.0,0.4949050135271514,False,,False,-0.25258972883660513,0.0750796635887484,False,,False,0.08621018834294172,-0.08347093230672972,False,,False,0.09320190605081691,-0.058873513359265564,False,,False,0.0007048713216562502,0.17144619188032426,False,,False,0.0913884195958009,0.04278016445307535,False,,False,0.15071800417032713,0.049242361443190094
closed,G4_walking_cluster,1.0,00,79.6,0.39441310579076216,False,,False,,-0.021013307616660523,False,,False,-0.015921752741422386,,False,,False,-0.04202773961179959,0.1146560714444675,False,,False,,4.9952537777883665e-05,False,,False,,,False,3.0,False,-0.0246263784039314,0.09508822354995236
closed,G4_walking_cluster,1.0,01,80.6,0.3974649808152132,False,,False,,-0.021518090167511363,False,,False,-0.012407439677969968,-0.00826164188523205,False,,False,-0.07129088551840383,0.08316139630298829,False,,False,,-0.004538996733723191,False,,False,,,False,,False,-0.014610870928104723,0.12500976609511488
closed,G4_walking_cluster,1.0,10,83.4,0.3055717670253878,False,,False,,0.0006092032056629129,False,,False,-0.014012513323521686,-0.012208570975888365,False,,False,-0.049346667370032835,0.24860000750682207,False,,False,,0.013459863402086214,False,,False,,-0.02973115748374575,False,,False,-0.03996416868675485,0.24801402660914745
closed,G4_walking_cluster,1.0,11,81.4,0.34472100184738064,False,,False,,0.005276207319214775,False,,False,-0.022278576934455584,-0.007669145716883753,False,,False,-0.05276926467995674,0.2132866675830849,False,,False,,-0.005253685837581733,False,,False,,,False,,False,,0.25222324567431287
closed,G4_walking_cluster,2.0,00,97.4,0.6080325723184961,False,,False,,-0.03123335739605939,False,,False,-0.029689773992425825,,False,,False,-0.08582968773586755,0.07563142835703159,False,,False,,-0.00037560592352824107,False,,False,-0.013306720701876856,,False,,False,-0.07613843616246903,0.04617631841422627
closed,G4_walking_cluster,2.0,01,98.6,0.6052714315373141,False,,False,,-0.017835769994016967,False,,False,-0.022605922321685564,,False,,False,-0.07242260440011489,0.06185012867289512,False,,False,-0.09776136237707941,-0.004751404620402492,False,,False,-0.006711409395973163,,False,,False,-0.05179388456097178,-0.002653906178242167
closed,G4_walking_cluster,2.0,10,105.2,0.4967317539295948,False,,False,,-0.08596686726491984,False,,False,-0.03873541901151762,-0.0421798501423498,False,,False,-0.04224105929186261,0.23765724633435298,False,,False,,0.020069564692469424,False,,False,,,False,,False,-0.045543405670087495,0.21837151378190017
