sign_mode,group,n_dn,rate_hz,wall_s,spikes_total,active_total,mn_active,mn_rate_hz,lf_rhythmic,lf_peak_hz,lf_ratio,lm_rhythmic,lm_peak_hz,lm_ratio,lh_rhythmic,lh_peak_hz,lh_ratio,rf_rhythmic,rf_peak_hz,rf_ratio,rm_rhythmic,rm_peak_hz,rm_ratio,rh_rhythmic,rh_peak_hz,rh_ratio,legs_rhythmic
verified,G2_DNp09_DNa01_DNa02,6,100.0,17.805828354998084,4986,306,12,0.08013640238704177,False,,,False,,,False,,,False,,,False,,,False,,,0
verified,G2_DNp09_DNa01_DNa02,6,200.0,32.11977027399553,11453,409,30,0.36317135549872126,False,17.6,0.6694860014137892,False,18.400000000000002,0.8929728214460197,False,,,True,17.6,1.0528547151204932,False,,,False,,,1
verified,G3_top20_drive,20,100.0,106.5654151130002,39983,1170,113,9.29923273657289,False,8.0,0.9651591040024778,True,3.2,1.8133250202672153,True,8.0,2.2133523922975087,True,10.4,1.0025484086027634,True,9.600000000000001,1.376161670737785,True,9.600000000000001,1.7938508626141105,5
verified,G3_top20_drive,20,200.0,140.5049175430031,84845,2091,122,16.199488491048594,True,8.8,1.4634375258068757,True,4.0,1.9071442891723205,True,15.200000000000001,2.1200219673388117,True,3.2,1.339691012023669,True,13.600000000000001,1.0720239718878626,True,16.0,1.9606993826180668,6
verified,G4_walking_cluster,159,100.0,135.19635734399344,82325,1672,68,3.5481670929241265,False,18.400000000000002,0.36373048076874054,False,12.0,0.6104769253147824,True,10.4,1.3621504720692046,False,8.0,0.718760708197003,True,13.600000000000001,1.8451341558138166,True,11.200000000000001,1.7642969729206008,3
verified,G4_walking_cluster,159,200.0,143.0604930979971,155861,2561,71,4.77919863597613,False,5.6000000000000005,0.40864248907421286,False,4.800000000000001,0.5057656903163261,False,12.0,0.791314534002888,False,12.0,0.5398479131475357,False,6.4,0.816028171152046,False,5.6000000000000005,0.7827752110848474,0
verified_gluexc,G1_DNp09,2,100.0,59.06627724299324,1688,186,11,0.10571184995737426,False,,,False,,,False,,,False,,,False,8.0,0.95109709884039,False,,,0
verified_gluexc,G1_DNp09,2,200.0,87.06084071400255,3830,335,38,0.3768115942028985,True,7.2,1.5911815774199642,True,12.0,1.0194622324745544,False,,,False,14.4,0.7194060822420707,False,12.0,0.8628802039725356,True,12.0,1.1255534554695512,3
verified_gluexc,G2_DNp09_DNa01_DNa02,6,100.0,19.37802024800476,10327,631,89,2.49616368286445,True,14.4,3.0942522680040674,True,11.200000000000001,1.543868465846162,False,4.800000000000001,0.8083933985688926,True,14.4,1.598847793298291,False,13.600000000000001,0.735774417143309,False,12.0,0.7777610881541307,3
verified_gluexc,G2_DNp09_DNa01_DNa02,6,200.0,29.796207307997975,22816,808,112,5.421994884910486,True,18.400000000000002,3.583930869227244,True,19.200000000000003,1.5008681261853634,False,20.0,0.9307336294505446,True,18.400000000000002,2.2147184781148015,True,15.200000000000001,1.1562475460974828,True,18.400000000000002,1.434270572513662,5
verified_gluexc,G3_top20_drive,20,100.0,65.13241168099921,71616,1662,251,24.786018755328218,True,14.4,3.652145839243839,True,4.800000000000001,2.80290251954984,True,4.800000000000001,2.752921548009203,True,17.6,4.512516515451883,True,17.6,2.948539804401148,True,17.6,2.7565335859591684,6
verified_gluexc,G3_top20_drive,20,200.0,68.55755906700506,143048,2887,274,43.9693094629156,True,7.2,3.222540749030011,True,8.8,2.8352244439764767,True,7.2,5.983356458490016,True,16.0,3.175180151987804,True,18.400000000000002,3.0961044142735106,True,6.4,3.6230072249245073,6
verified_gluexc,G4_walking_cluster,159,100.0,62.58396611599892,132245,2294,191,22.41773231031543,True,9.600000000000001,2.640114166825868,True,12.0,2.1534503808212957,False,12.0,0.7960552938326574,True,8.0,3.0986309502328084,True,18.400000000000002,1.015073040101872,True,20.0,1.3030322966957812,5
verified_gluexc,G4_walking_cluster,159,200.0,59.17846081999596,235658,3083,213,34.57459505541347,True,8.8,2.515675556048728,True,12.8,1.9318392680817755,False,3.2,0.9600285450470027,True,8.0,3.7530357868729216,False,14.4,0.998390766392682,True,16.8,1.212604788030773,4
