conn,rate,cond,seed,total_spikes,frac_active,DNp09_left,DNp09_right,MDN_left,MDN_right,DNa01_left,DNa01_right,DNa02_left,DNa02_right
emb0,r20,sim,1004,2774,0.0011612893918738593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r20,sim,1005,2682,0.0011612893918738593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r20,sim,1006,2777,0.0011757153470524167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r20,sim,1007,2664,0.0011540764142845808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r20,sim,1008,2830,0.0012045672574095313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r20,sim,1009,2757,0.0011540764142845808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r50,sim,1000,7104,0.0018681611956231651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r50,sim,1001,7383,0.0020124207474087378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r50,sim,1002,7228,0.0019763558594623446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r50,sim,1003,7211,0.0019402909715159516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r50,sim,1004,7458,0.001983568837051623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r50,sim,1005,7040,0.001911439061158837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r50,sim,1006,7230,0.0019763558594623446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r50,sim,1007,7045,0.001969142881873066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r50,sim,1008,7223,0.001969142881873066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r50,sim,1009,7296,0.002034059680176574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r100,sim,1000,15840,0.002863552102943616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r100,sim,1001,15840,0.0028419131701757803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r100,sim,1002,15705,0.0028563391253543374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r100,sim,1003,15603,0.002820274237407944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r100,sim,1004,15939,0.002827487214997223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r100,sim,1005,15482,0.002870765080532895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r100,sim,1006,15656,0.002820274237407944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r100,sim,1007,15502,0.0027986353046401086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r100,sim,1008,15692,0.00279142232705083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r100,sim,1009,15962,0.002820274237407944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,vin5,sim,1000,4495,0.00157964209205202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,vin5,sim,1001,4687,0.0016878367558911995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,vin5,sim,1002,4620,0.001637345912766249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,vin5,sim,1003,4600,0.0016445588903555278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,vin5,sim,1004,4724,0.0016878367558911995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,vin5,sim,1005,4528,0.0016301329351769704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,vin5,sim,1006,4639,0.0017022627110697566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,vin5,sim,1007,4520,0.0016517718679448063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,vin5,sim,1008,4752,0.0017311146214268713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,vin5,sim,1009,4703,0.0017094756886590354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,none,control,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,none,control,1001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,none,control,1002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,none,control,1003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,none,control,1004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,none,control,1005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,none,control,1006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,none,control,1007,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,none,control,1008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,none,control,1009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r20,sim,1000,2652,0.0011612893918738593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r20,sim,1001,2732,0.0011685023694631381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r20,sim,1002,2696,0.0011540764142845808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r20,sim,1003,2713,0.0011685023694631381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r20,sim,1004,2777,0.0011757153470524167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r20,sim,1005,2682,0.0011685023694631381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r20,sim,1006,2777,0.0011757153470524167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r20,sim,1007,2665,0.0011612893918738593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r20,sim,1008,2828,0.0011973542798202526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r20,sim,1009,2759,0.0011612893918738593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r50,sim,1000,7107,0.0018681611956231651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r50,sim,1001,7365,0.0019619299042837875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
emb1,r50,sim,1002,7212,0.0019330779939266728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r50,sim,1003,7201,0.0019042260835695584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
emb1,r50,sim,1004,7442,0.002026846702587295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r50,sim,1005,7029,0.0018393092852660507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r50,sim,1006,7237,0.0019763558594623446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r50,sim,1007,7035,0.001911439061158837,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
emb1,r50,sim,1008,7201,0.0019042260835695584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r50,sim,1009,7286,0.0019619299042837875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r100,sim,1000,15725,0.0027481444615151582,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
emb1,r100,sim,1001,15758,0.002726505528747322,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
emb1,r100,sim,1002,15634,0.0027842093494615514,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
emb1,r100,sim,1003,15494,0.002755357439104437,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
emb1,r100,sim,1004,15876,0.002870765080532895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,r100,sim,1005,15416,0.0028347001925865018,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
emb1,r100,sim,1006,15616,0.0028563391253543374,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
emb1,r100,sim,1007,15438,0.0027192925511580436,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
